"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2025.3.80.80102.900.8070.600061.6";"2025.3.80.80102.900.8070.600061.6";"2025.5665845.80102.0.600061.900.8070.91454.6";"Encargos Gerais do Estado"
"2026.3.10.10101.417.5935.600162.6";"2026.3.10.10101.417.5935.600162.6";"2026.6186797.10101.1.600162.417.5935.97908.6";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura"
"2026.3.21.21101.412.1793.600093.6";"2026.3.21.21101.412.1793.600093.6";"2026.6191686.21101.5.600093.412.1793.97836.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2026.3.38.38101.446.3194.600062.6";"2026.3.38.38101.446.3194.600062.6";"2026.6193872.38101.1.600062.446.3194.95497.6";"Secretaria de Justiça e Direitos Humanos"
"2026.3.80.80102.900.8070.600032.6";"2026.3.80.80102.900.8070.600032.6";"2026.6187139.80102.0.600032.900.8070.95152.6";"Encargos Gerais do Estado"
"2024.3.28.28101.405.7917.600009.6";"2024.3.26.26101.405.7917.600009.6";"2024.5210981.28101.1.600009.405.7917.61629.6";"Secretaria de Desenvolvimento Urbano"
"2020.3.21.21301.305.7882.600002.6";"2020.3.21.21301.305.7882.600002.6";"2020.3893171.21301.0.600002.305.7882.46265.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2021.3.11.11302.306.7863.600009.6";"2021.3.11.11302.306.7863.600009.6";"2021.4234487.11302.0.600009.306.7863.51514.6";"Secretaria da Educação"
"2021.3.26.26101.305.1158.600020.6";"2021.3.26.26101.305.1158.600020.6";"2021.4234777.26101.4.600020.305.1158.51525.6";"Secretaria de Desenvolvimento Urbano"
"2022.3.22.22101.302.6903.600005.6";"2022.3.22.22101.302.6903.600005.6";"2022.4590055.22202.1.600005.302.6903.51874.6";"Secretaria de Cultura"
"2022.3.26.26401.305.1162.600030.6";"2022.3.26.26401.305.1162.600030.6";"2022.4588613.26401.0.600030.305.1162.57108.6";"Secretaria de Desenvolvimento Urbano"
"2022.3.80.80102.900.8070.600000.6";"2022.3.80.80102.900.8070.600000.6";"2022.4572023.80102.0.600000.900.8070.51324.6";"Encargos Gerais do Estado"
"2023.3.11.11303.306.7867.600031.6";"2023.3.11.11303.306.7867.600031.6";"2023.4934293.11303.0.600031.306.7867.57248.6";"Secretaria da Educação"
"2023.3.21.21301.303.5779.600038.6";"2023.3.21.21301.303.5779.600038.6";"2023.5200860.21301.0.600038.303.5779.57258.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.28.28101.301.7917.600000.6";"2023.3.28.28101.301.7917.600000.6";"2023.4932374.28101.0.600000.301.7917.55814.6";"Secretaria de Ciência, Tecnologia e Inovação"
"2023.3.38.38101.300.2170.600046.6";"2023.3.38.38101.300.2170.600046.6";"2023.5201341.38101.3.600046.300.2170.62123.6";"Secretaria de Justiça e Direitos Humanos"
"2024.3.21.21101.414.7882.600014.6";"2024.3.21.21101.414.7882.600014.6";"2024.5227578.21301.1.600014.414.7882.61634.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2024.3.21.21301.414.1009.600027.6";"2024.3.21.21301.414.1009.600027.6";"2024.5213262.21301.1.600027.414.1009.61645.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2024.3.28.28101.405.7917.600009.6";"2024.3.28.28101.405.7917.600009.6";"2024.5211034.26101.4.600009.405.7917.61629.6";"Secretaria de Ciência, Tecnologia e Inovação"
"2024.3.34.34101.430.5558.600059.6";"2024.3.34.34101.430.5558.600059.6";"2024.5226128.34101.2.600059.430.5558.91326.6";"Secretaria de Políticas para as Mulheres"
"2025.3.11.11101.425.7744.600062.6";"2025.3.11.11101.425.7744.600062.6";"2025.5673406.11101.38.600062.425.7744.91471.6";"Secretaria da Educação"
"2025.3.20.20801.437.7873.600088.6";"2025.3.20.20801.437.7873.600088.6";"2025.6180092.20801.0.600088.437.7873.97525.6";"Secretaria da Segurança Pública"
"2025.3.21.21101.414.7882.600014.6";"2025.3.21.21101.414.7882.600014.6";"2025.5681204.21101.1.600014.414.7882.90216.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.26.26401.419.5344.600046.6";"2025.3.26.26401.419.5344.600046.6";"2025.5672991.26401.1.600046.419.5344.90188.6";"Secretaria de Desenvolvimento Urbano"
"2025.3.38.38101.400.2170.600066.6";"2025.3.38.38101.400.2170.600066.6";"2025.5679043.38101.3.600066.400.2170.91438.6";"Secretaria de Justiça e Direitos Humanos"
"2026.3.38.38101.400.2170.600062.6";"2026.3.38.38101.400.2170.600062.6";"2026.6194231.38101.3.600062.400.2170.95497.6";"Secretaria de Justiça e Direitos Humanos"
"2026.3.80.80102.900.8070.600075.6";"2026.3.80.80102.900.8070.600075.6";"2026.6187275.80102.0.600075.900.8070.97082.6";"Encargos Gerais do Estado"
"2025.3.9.9801.442.1340.600064.6";"2025.3.9.9101.442.1340.600064.6";"2025.5668286.9801.1.600064.442.1340.91398.6";"Secretaria da Administração"
"2021.3.18.18401.304.1399.600003.6";"2021.3.18.18401.304.1399.600003.6";"2021.4565410.18401.1.600003.304.1399.51508.6";"Secretaria de Desenvolvimento Rural"
"2021.3.24.24801.309.7911.600006.6";"2021.3.24.24801.309.7911.600006.6";"2021.4563694.24801.1.600006.309.7911.51511.6";"Secretaria de Infraestrutura"
"2022.3.11.11101.306.6596.600009.6";"2022.3.11.11101.306.6596.600009.6";"2022.4577180.11101.1.600009.306.6596.51878.6";"Secretaria da Educação"
"2022.3.11.11301.306.4048.600009.6";"2022.3.11.11301.306.4048.600009.6";"2022.4854830.11301.1.600009.306.4048.51878.6";"Secretaria da Educação"
"2022.3.12.12101.300.2170.600025.6";"2022.3.12.12101.300.2170.600025.6";"2022.4588536.12101.3.600025.300.2170.57103.6";"Secretaria de Justiça, Direitos Humanos e Desenvolvimento Social"
"2022.3.22.22301.302.7857.600007.6";"2022.3.22.22301.302.7857.600007.6";"2022.4575827.22301.1.600007.302.7857.51876.6";"Secretaria de Cultura"
"2023.3.11.11301.306.4048.600009.6";"2023.3.11.11301.306.4048.600009.6";"2023.4940319.11301.0.600009.306.4048.55823.6";"Secretaria da Educação"
"2023.3.20.20101.314.7877.600006.6";"2023.3.20.20101.314.7877.600006.6";"2023.4933165.20101.0.600006.314.7877.55820.6";"Secretaria da Segurança Pública"
"2023.3.20.20101.314.7880.600053.6";"2023.3.20.20101.314.7880.600053.6";"2023.5090672.20101.0.600053.314.7880.62127.6";"Secretaria da Segurança Pública"
"2024.3.11.11303.424.7867.600031.6";"2024.3.11.11303.424.7867.600031.6";"2024.5212819.11303.1.600031.424.7867.61618.6";"Secretaria da Educação"
"2024.3.18.18401.417.1399.600077.6";"2024.3.18.18401.417.1399.600077.6";"2024.5269333.18401.0.600077.417.1399.91340.6";"Secretaria de Desenvolvimento Rural"
"2024.3.38.38101.400.2170.600038.6";"2024.3.38.38101.400.2170.600038.6";"2024.5215448.38101.3.600038.400.2170.61652.6";"Secretaria de Justiça e Direitos Humanos"
"2024.3.38.38101.400.4170.600052.6";"2024.3.38.38101.400.4170.600052.6";"2024.5657226.38101.3.600052.400.4170.62312.6";"Secretaria de Justiça e Direitos Humanos"
"2025.3.21.21301.414.5779.600056.6";"2025.3.21.21301.414.5779.600056.6";"2025.5682164.21301.1.600056.414.5779.90187.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.26.26401.419.1162.600075.6";"2025.3.26.26401.419.1162.600075.6";"2025.5674955.26401.0.600075.419.1162.91385.6";"Secretaria de Desenvolvimento Urbano"
"2025.3.29.29101.440.3362.600065.6";"2025.3.29.29101.440.3362.600065.6";"2025.5682778.29101.1.600065.440.3362.91466.6";"Secretaria de Relações Institucionais"
"2026.3.18.18101.417.1399.600157.6";"2026.3.18.18101.417.1399.600157.6";"2026.6196468.18101.0.600157.417.1399.97923.6";"Secretaria de Desenvolvimento Rural"
"2026.3.18.18101.417.1399.600165.6";"2026.3.18.18101.417.1399.600165.6";"2026.6196599.18101.3.600165.417.1399.97912.6";"Secretaria de Desenvolvimento Rural"
"2026.3.26.26101.419.1162.600053.6";"2026.3.26.26101.419.1162.600053.6";"2026.6188913.26101.4.600053.419.1162.97008.6";"Secretaria de Desenvolvimento Urbano"
"2026.3.28.28101.405.1600.600065.6";"2026.3.28.28101.405.1600.600065.6";"2026.6188336.28101.0.600065.405.1600.95382.6";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.80.80102.900.8070.600045.6";"2026.3.80.80102.900.8070.600045.6";"2026.6187172.80102.0.600045.900.8070.97017.6";"Encargos Gerais do Estado"
"2025.3.18.18101.417.1399.600135.6";"2025.3.18.18401.417.1399.600135.6";"2025.6181431.18101.3.600135.417.1399.97695.6";"Secretaria de Desenvolvimento Rural"
"2020.3.21.21301.305.7882.600002.6";"2020.3.21.21301.305.7882.600002.6";"2020.3893186.21301.1.600002.305.7882.46265.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2021.3.24.24801.309.7886.600006.6";"2021.3.24.24801.309.7886.600006.6";"2021.4541700.24801.0.600006.309.7886.51511.6";"Secretaria de Infraestrutura"
"2022.3.11.11101.306.6596.600009.6";"2022.3.11.11101.306.6596.600009.6";"2022.4588397.11301.1.600009.306.6596.51878.6";"Secretaria da Educação"
