"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ação do Programa de Governo";"cod_subfonte_recurso";"Deputado";"Nome do Deputado";"num_codigo";"Valor Orçado Inicial.";"Valor Orçado Atual.";"Valor Empenhado.";"Valor Liquidado.";"Valor Pago."
"2024";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gerenciamento do Serviço Hospitalar";"500088";"  Zó";"  Zó";"2024.3.19.19601.435.2875.500088.5";"1000000,00";"1000000,00";"1000000,00";"1000000,00";"1000000,00"
"2026";"Secretaria de Promoção da Igualdade Racial e dos Povos e Comunidades Tradicionais";"SEPROMI";"Assessoria de Planejamento e Gestão - SEPROMI";"APG";"Apoio a Projeto de Empreendedorismo";"500141";"  Soane Galvão";"  Soane Galvão";"2026.3.30.30101.426.4699.500141.5";"1000000,00";"1000000,00";"0,00";"0,00";"0,00"
"2019";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500075";"  Gika Lopes";"  Gika Lopes";"2019.3.11.11101.212.5134.500075.5";"16850,00";"16850,00";"2376,20";"2376,20";"2376,20"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gestão Direta";"500028";"  José De Arimatéia";"  José De Arimatéia";"2020.3.19.19601.313.2641.500028.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Assessoria de Planejamento e Gestão - SEAGRI";"APG";"Apoio a Evento para Atração de Investime";"500129";"  Júnior Nascimento";"  Júnior Nascimento";"2024.3.10.10101.417.3044.500129.5";"100000,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Assessoria de Planejamento e Gestão - SEAGRI";"APG";"Distribuição de Equipamento";"500036";"  Marcelino Galo";"  Marcelino Galo";"2020.3.10.10101.304.7385.500036.5";"33160,00";"0,00";"0,00";"0,00";"0,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500066";"  Alan Castro";"  Alan Castro";"2018.3.18.18401.206.1399.500066.5";"153030,00";"153030,00";"45182,64";"45182,64";"45182,64"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500110";"  Pastor Isidorio Filho";"  Pastor Isidorio Filho";"2021.3.19.19601.313.5607.500110.5";"0,00";"35000,00";"21575,00";"3575,00";"3575,00"
"2026";"Secretaria da Educação";"SEC";"Universidade do Estado da Bahia";"UNEB";"Infraestrutura em Unidade Universitária";"500098";"  Hilton Coelho";"  Hilton Coelho";"2026.3.11.11301.424.7867.500098.5";"120000,00";"40000,00";"0,00";"0,00";"0,00"
"2020";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Promoção de Atividade de Esporte";"500051";"  Roberto Carlos";"  Roberto Carlos";"2020.3.21.21301.308.5793.500051.5";"0,00";"80000,00";"0,00";"0,00";"0,00"
